"Freight Flows","Corridor","Lat","Long","Grouping","Daily$","DailyTons"
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Electronics",371448,15
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Food",1992432,1156
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Gravel, Sand, etc.",2008,149
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Machinery",619581,229
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Misc manufactured",1072119,148
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Motor Vehicles, etc.",2592638,170
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Wood, Paper, etc.",300055,505
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Agriculture",112815,259
"OR 99E SB","Rivergate to I-5",455.84635,-1226.62929,"All Goods",5758430,3938
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Chemical",33030,46
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Coal, Oil, Waste, etc.",1005718,1996
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Electronics",1000649,41
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Food",926246,537
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Gravel, Sand, etc.",2529,188
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Machinery",849053,314
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Misc manufactured",257717,35
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Motor Vehicles, etc.",1312503,86
"OR 99E SB","Rivergate to I-5",45.584635,-122.662929,"Wood, Paper, etc.",258171,435
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Agriculture",137726,317
"I-205 EB Stafford","Tigard to Wilsonville",453.71176,-1227.25573,"All Goods",11581133,8530
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Chemical",669641,928
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Coal, Oil, Waste, etc.",1349499,2678
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Electronics",3673166,150
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Food",2476300,1437
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Gravel, Sand, etc.",17603,1309
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Machinery",1057080,391
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Misc manufactured",469467,65
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Motor Vehicles, etc.",1024543,67
"I-205 EB Stafford","Tigard to Wilsonville",45.371176,-122.725573,"Wood, Paper, etc.",706108,1189
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Agriculture",237537,546
"I-205 WB Stafford","Tigard to Wilsonville",453.75397,-1227.21627,"All Goods",10891956,11088
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Chemical",282383,391
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Coal, Oil, Waste, etc.",2066403,4101
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Electronics",2371120,97
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Food",1851998,1075
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Gravel, Sand, etc.",29422,2188
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Machinery",1039042,384
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Misc manufactured",1226241,169
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Motor Vehicles, etc.",539875,35
"I-205 WB Stafford","Tigard to Wilsonville",45.375397,-122.721627,"Wood, Paper, etc.",1247934,2102
"I-5 NB I-205","Tigard to Wilsonville",45.347776,-122.7628,"Agriculture",3838364,8829
